symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-06-12 00:00:00+00:00,342.77,354.97,338.0,344.7,22347403,22.8513333333,23.6646666667,22.5333333333,22.98,335211045,0.0,1.0
TSLA,2018-06-13 00:00:00+00:00,344.78,347.2,339.8,346.71,9469804,22.9853333333,23.1466666667,22.6533333333,23.114,142047060,0.0,1.0
TSLA,2018-06-14 00:00:00+00:00,357.72,358.75,346.6,347.63,10981023,23.848,23.9166666667,23.1066666667,23.1753333333,164715345,0.0,1.0
TSLA,2018-06-15 00:00:00+00:00,358.17,364.67,351.25,353.84,10848254,23.878,24.3113333333,23.4166666667,23.5893333333,162723810,0.0,1.0
TSLA,2018-06-18 00:00:00+00:00,370.83,373.73,354.5,355.4,12073226,24.722,24.9153333333,23.6333333333,23.6933333333,181098390,0.0,1.0
TSLA,2018-06-19 00:00:00+00:00,352.55,370.0,346.25,365.16,12761903,23.5033333333,24.6666666667,23.0833333333,24.344,191428545,0.0,1.0
TSLA,2018-06-20 00:00:00+00:00,362.22,364.38,352.0,358.04,8383656,24.148,24.292,23.4666666667,23.8693333333,125754840,0.0,1.0
TSLA,2018-06-21 00:00:00+00:00,347.51,366.21,346.27,362.0,7967145,23.1673333333,24.414,23.0846666667,24.1333333333,119507175,0.0,1.0
TSLA,2018-06-22 00:00:00+00:00,333.63,352.25,332.0,351.54,10266059,22.242,23.4833333333,22.1333333333,23.436,153990885,0.0,1.0
TSLA,2018-06-25 00:00:00+00:00,333.01,338.47,327.5,330.12,6931304,22.2006666667,22.5646666667,21.8333333333,22.008,103969560,0.0,1.0
TSLA,2018-06-26 00:00:00+00:00,342.0,343.55,325.8,336.05,7452487,22.8,22.9033333333,21.72,22.4033333333,111787305,0.0,1.0
TSLA,2018-06-27 00:00:00+00:00,344.5,350.79,339.5,345.0,8333727,22.9666666667,23.386,22.6333333333,23.0,125005905,0.0,1.0
TSLA,2018-06-28 00:00:00+00:00,349.93,357.02,346.11,348.66,8398005,23.3286666667,23.8013333333,23.074,23.244,125970075,0.0,1.0
TSLA,2018-06-29 00:00:00+00:00,342.95,353.86,342.41,353.33,6492396,22.8633333333,23.5906666667,22.8273333333,23.5553333333,97385940,0.0,1.0
TSLA,2018-07-02 00:00:00+00:00,335.07,364.78,329.85,360.07,18759765,22.338,24.3186666667,21.99,24.0046666667,281396475,0.0,1.0
TSLA,2018-07-03 00:00:00+00:00,310.86,332.49,309.69,331.75,12282638,20.724,22.166,20.646,22.1166666667,184239570,0.0,1.0
TSLA,2018-07-05 00:00:00+00:00,309.16,314.39,296.22,313.76,17476374,20.6106666667,20.9593333333,19.748,20.9173333333,262145610,0.0,1.0
TSLA,2018-07-06 00:00:00+00:00,308.9,312.07,302.0,304.95,8865451,20.5933333333,20.8046666667,20.1333333333,20.33,132981765,0.0,1.0
TSLA,2018-07-09 00:00:00+00:00,318.51,318.52,308.0,311.99,7596753,21.234,21.2346666667,20.5333333333,20.7993333333,113951295,0.0,1.0
TSLA,2018-07-10 00:00:00+00:00,322.47,327.68,319.2,324.56,9471498,21.498,21.8453333333,21.28,21.6373333333,142072470,0.0,1.0
TSLA,2018-07-11 00:00:00+00:00,318.96,321.94,315.07,315.8,4884076,21.264,21.4626666667,21.0046666667,21.0533333333,73261140,0.0,1.0
